10:07:53.451:  0, 0 ,0
| Ac= 380 | AcZ = 15492 
AcX = -340 | AcY = 408 | AcZ = 15456 
AcX = -324 | AcY = 408 | AcZ = 15556 
AcX = -360 | AcY = 448 | AcZ = 15388 
AcX = -336 | AcY = 472 | AcZ = 15420 
AcX = -320 | AcY = 388 | AcZ = 15380 
AcX = -344 | AcY = 380 | AcZ = 15436 
AcX = -232 | AcY = 396 | AcZ = 15384 
AcX = -312 | AcY = 400 | AcZ = 15484 
AcX = -344 | AcY = 428 | AcZ = 15492 
AcX = -352 | AcY = 428 | AcZ = 15500 
AcX = -244 | AcY = 376 | AcZ = 15404 
AcX = -444 | AcY = 360 | AcZ = 15460 
AcX = -428 | AcY = 448 | AcZ = 15520 
AcX = -260 | AcY = 360 | AcZ = 15432 
AcX = -356 | AcY = 460 | AcZ = 15448 
AcX = -312 | AcY = 560 | AcZ = 15424 
AcX = -408 | AcY = 364 | AcZ = 15336 
AcX = -364 | AcY = 436 | AcZ = 15536 
AcX = -352 | AcY = 380 | AcZ =
10:07:53.545:  0, 0 ,0
 15544 
AcX = -288 | AcY = 332 | AcZ = 15492 
AcX = -324 | AcY = 
10:07:53.645:  0, 0 ,0
436 | AcZ = 15508 
AcX = -368 | AcY = 236 | AcZ = 15464 
A
10:07:53.744:  0, 0 ,0
cX = -316 | AcY = 328 | AcZ = 15476 
AcX = -292 | AcY = 372 | AcZ = 15548 

10:07:53.842:  0, 0 ,0
AcX = -320 | AcY = 456 | AcZ = 15516 
AcX = -376 | AcY = 412 | AcZ = 15364 
10:07:53.941:  0, 0 ,0

AcX = -372 | AcY = 272 | AcZ = 15420 
AcX = -452 | AcY = 484 | AcZ = 1551
10:07:54.041:  0, 0 ,0
2 
AcX = -224 | AcY = 356 | AcZ = 15448 
AcX = -404 | AcY = 400 | AcZ 
10:07:54.144:  0, 0 ,0
= 15560 
AcX = -432 | AcY = 400 | AcZ = 15516 
AcX = -372 | AcY = 368 | A
10:07:54.247:  0, 0 ,0
cZ = 15396 
AcX = -312 | AcY = 436 | AcZ = 15432 
AcX = -352 | AcY = 512 
10:07:54.346:  0, 0 ,0
| AcZ = 15548 
AcX = -348 | AcY = 452 | AcZ = 15588 
AcX = -344 | AcY = 47
10:07:54.445:  0, 0 ,0
6 | AcZ = 15484 
AcX = -384 | AcY = 476 | AcZ = 15408 
AcX = -412 | A
10:07:54.543:  0, 0 ,0
cY = 428 | AcZ = 15432 
AcX = -340 | AcY = 376 | AcZ = 15564 
AcX = -2
10:07:54.645:  0, 0 ,0
36 | AcY = 440 | AcZ = 15420 
AcX = -288 | AcY = 312 | AcZ = 15492 
AcX =
